Date,Close
12/12/2014,86.66
12/15/2014,85.62
12/16/2014,84.74
12/17/2014,86.75
12/18/2014,89.93
12/19/2014,89.8
12/22/2014,90.28
12/23/2014,91.48
12/24/2014,91.45
12/26/2014,91.23
12/29/2014,91.67
12/30/2014,91.58
12/31/2014,90.46
1/2/2015,90.11
1/5/2015,87.25
1/6/2015,85.44
1/7/2015,85.49
1/8/2015,86.86
1/9/2015,85.32
1/12/2015,84.21
1/13/2015,83.38
1/14/2015,81.18
1/15/2015,79.78
1/16/2015,81
1/20/2015,80.51
1/21/2015,80.6
1/22/2015,82.22
1/23/2015,80.69
1/26/2015,80.75
1/27/2015,79.47
1/28/2015,76.99
1/29/2015,76.96
1/30/2015,75.88
2/2/2015,78.12
2/3/2015,80.09
2/4/2015,79.89
2/5/2015,75.32
2/6/2015,77.8
2/9/2015,77.26
2/10/2015,78.08
2/11/2015,79.19
2/12/2015,78.7
2/13/2015,80.33
2/17/2015,80.95
2/18/2015,79.56
2/19/2015,80.3
2/20/2015,80.81
2/23/2015,80.42
2/24/2015,81.53
2/25/2015,80.87
2/26/2015,81.11
2/27/2015,80.85
3/2/2015,82.15
3/3/2015,81.5
3/4/2015,80.6
3/5/2015,81.01
3/6/2015,82.6
3/9/2015,82.64
3/10/2015,79.87
3/11/2015,80.46
3/12/2015,82.33
3/13/2015,81.14
3/16/2015,83.07
3/17/2015,82.32
3/18/2015,81.83
3/19/2015,80.21
3/20/2015,82.68
3/23/2015,81.77
3/24/2015,80.58
3/25/2015,79.38
3/26/2015,80.04
3/27/2015,79.14
3/30/2015,80.37
3/31/2015,80.31
4/1/2015,79.45
4/2/2015,80.53
4/6/2015,80.12
4/7/2015,79.67
4/8/2015,80.23
4/9/2015,81.13
4/10/2015,80.34
4/13/2015,80.97
4/14/2015,79.91
4/15/2015,80.08
4/16/2015,80.16
4/17/2015,79.13
4/20/2015,79.93
4/21/2015,79.71
4/22/2015,81.12
4/23/2015,81.31
4/24/2015,80.79
4/27/2015,80.22
4/28/2015,81.15
4/29/2015,82.52
4/30/2015,81.6
5/1/2015,83.36
5/4/2015,84.19
5/5/2015,83.4
5/6/2015,83.7
5/7/2015,85.17
5/8/2015,85.58
5/11/2015,86.77
5/12/2015,86.23
5/13/2015,86.08
5/14/2015,86.3
5/15/2015,85.46
5/18/2015,86.43
5/19/2015,86.28
5/20/2015,85.64
5/21/2015,85.63
5/22/2015,85.12
5/26/2015,83.97
5/27/2015,85.2
5/28/2015,85.07
5/29/2015,84.61
6/1/2015,84.32
6/2/2015,85.52
6/3/2015,86.99
6/4/2015,86.6
6/5/2015,88.24
6/8/2015,87.58
6/9/2015,87.97
6/10/2015,90.55
6/11/2015,89.93
6/12/2015,89.24
6/15/2015,88.58
6/16/2015,89.73
6/17/2015,89.14
6/18/2015,89.76
6/19/2015,89.29
6/22/2015,90.98
6/23/2015,91.47
6/24/2015,90.7
6/25/2015,89.73
6/26/2015,90.72
6/29/2015,87.29
6/30/2015,87.52
7/1/2015,88.98
7/2/2015,88.17
7/6/2015,87.51
7/7/2015,87
7/8/2015,84.86
7/9/2015,85.72
7/10/2015,87.36
7/13/2015,88.61
7/14/2015,88.75
7/15/2015,88.68
7/16/2015,89.53
7/17/2015,88.76
7/20/2015,88.65
7/21/2015,88.71
7/22/2015,88.75
7/23/2015,88.37
7/24/2015,87.85
7/27/2015,87.03
7/28/2015,88
7/29/2015,89.56
7/30/2015,89.67
7/31/2015,88.36
8/3/2015,89.14
8/4/2015,89.84
8/5/2015,89.86
8/6/2015,90.66
8/7/2015,89.41
8/10/2015,91.68
8/11/2015,89.45
8/12/2015,88.48
8/13/2015,89.27
8/14/2015,90.1
8/17/2015,89.31
8/18/2015,89.13
8/19/2015,87.7
8/20/2015,84.89
8/21/2015,80.77
8/24/2015,75.91
8/25/2015,74.22
8/26/2015,77.46
8/27/2015,81.12
8/28/2015,81.2
8/31/2015,80.7
9/1/2015,77.12
9/2/2015,78.94
9/3/2015,79.01
9/4/2015,77.1
9/8/2015,79.89
9/9/2015,78.49
9/10/2015,78.95
9/11/2015,78.99
9/14/2015,78.51
9/15/2015,80.46
9/16/2015,80.88
9/17/2015,78.19
9/18/2015,75.83
9/21/2015,77.15
9/22/2015,75.84
9/23/2015,76.23
9/24/2015,76.03
9/25/2015,77.25
